Date,1. open,2. high,3. low,4. close,Volume
2024-03-30,3511.21000000,3568.13000000,3488.08000000,3507.51000000,49286.06943040
2024-03-29,3561.12000000,3584.90000000,3473.42000000,3511.08000000,60142.83951755
2024-03-28,3499.62000000,3612.30000000,3462.44000000,3561.10000000,82506.63592030
2024-03-27,3587.50000000,3665.95000000,3458.00000000,3499.56000000,113287.84057127
2024-03-26,3590.61000000,3681.90000000,3544.00000000,3587.67000000,97999.11894572
2024-03-25,3454.88000000,3661.70000000,3418.61000000,3591.02000000,119411.57116768
2024-03-24,3330.28000000,3471.22000000,3300.00000000,3454.67000000,60606.08564157
2024-03-23,3337.38000000,3436.39000000,3271.47000000,3330.05000000,94959.72106776
2024-03-22,3491.78000000,3542.56000000,3250.33000000,3337.41000000,163488.10935820
2024-03-21,3517.02000000,3586.59000000,3410.45000000,3491.78000000,148636.00452543
2024-03-20,3156.94000000,3536.72000000,3057.50000000,3516.68000000,324768.03382929
2024-03-19,3520.52000000,3547.97000000,3147.81000000,3156.97000000,257986.07188340
2024-03-18,3641.51000000,3642.56000000,3454.30000000,3520.66000000,119847.05230624
2024-03-17,3520.24000000,3676.76000000,3410.78000000,3641.02000000,109583.54224228
2024-03-16,3743.29000000,3781.40000000,3466.55000000,3520.10000000,116692.68177422
2024-03-15,3880.45000000,3932.39000000,3566.38000000,3742.95000000,252124.79920745
2024-03-14,4007.79000000,4013.25000000,3714.53000000,3880.45000000,190612.34558486
2024-03-13,3980.31000000,4085.57000000,3934.52000000,4007.70000000,133886.82772964
2024-03-12,4066.95000000,4093.88000000,3828.83000000,3980.34000000,174639.81824993
2024-03-11,3882.48000000,4091.67000000,3730.72000000,4066.21000000,189041.07032596
2024-03-10,3913.84000000,3972.17000000,3800.01000000,3881.96000000,84572.21007878
2024-03-09,3892.62000000,3951.37000000,3880.00000000,3913.55000000,62180.56431897
2024-03-08,3875.42000000,4000.00000000,3826.37000000,3892.60000000,165705.35869307
2024-03-07,3822.10000000,3941.57000000,3736.50000000,3875.28000000,137053.14296446
2024-03-06,3557.42000000,3903.42000000,3502.00000000,3821.82000000,219365.56854364
2024-03-05,3632.92000000,3829.93000000,3205.00000000,3557.41000000,365410.47754845
2024-03-04,3489.95000000,3650.00000000,3430.00000000,3633.23000000,152726.49937298
2024-03-03,3423.77000000,3493.78000000,3363.59000000,3489.53000000,65187.62063460
2024-03-02,3436.37000000,3462.00000000,3398.14000000,3424.04000000,59797.37297303
2024-03-01,3341.78000000,3454.95000000,3340.15000000,3436.00000000,108273.12334217
2024-02-29,3386.64000000,3521.99000000,3302.10000000,3341.78000000,184874.52035185
2024-02-28,3244.35000000,3492.31000000,3185.00000000,3386.64000000,231321.85685237
2024-02-27,3178.28000000,3291.36000000,3167.80000000,3243.84000000,144336.78996453
2024-02-26,3113.37000000,3198.77000000,3036.62000000,3178.34000000,149112.05677300
2024-02-25,2992.41000000,3121.04000000,2983.45000000,3113.17000000,86028.20848380
2024-02-24,2921.76000000,3005.28000000,2906.20000000,2992.66000000,46828.08721040
2024-02-23,2969.75000000,2991.94000000,2905.71000000,2921.79000000,95313.32394229
2024-02-22,2968.37000000,3035.84000000,2906.13000000,2969.77000000,159019.68302075
2024-02-21,3015.53000000,3017.99000000,2868.32000000,2968.37000000,168311.07685356
2024-02-20,2944.94000000,3033.53000000,2873.82000000,3015.56000000,162450.24960627
2024-02-19,2881.91000000,2985.00000000,2857.33000000,2945.43000000,102810.47000218
2024-02-18,2787.12000000,2896.74000000,2765.55000000,2882.06000000,64492.75636679
2024-02-17,2804.09000000,2806.80000000,2719.73000000,2786.83000000,50463.18174055
2024-02-16,2825.88000000,2860.28000000,2745.48000000,2803.89000000,108579.83594863
2024-02-15,2777.37000000,2868.68000000,2761.90000000,2825.94000000,123679.76881122
2024-02-14,2641.84000000,2788.95000000,2619.36000000,2777.56000000,110804.38564680
2024-02-13,2661.13000000,2687.13000000,2590.41000000,2641.63000000,128589.09309863
2024-02-12,2508.49000000,2666.66000000,2472.17000000,2661.03000000,115679.36286012
2024-02-11,2501.08000000,2540.57000000,2494.42000000,2508.11000000,37979.95085055
2024-02-10,2487.87000000,2518.02000000,2473.32000000,2501.08000000,33777.58281582
2024-02-09,2419.78000000,2524.11000000,2418.79000000,2487.84000000,121261.76511101
2024-02-08,2424.71000000,2462.69000000,2410.77000000,2419.78000000,111654.90807514
2024-02-07,2372.09000000,2446.90000000,2352.34000000,2424.55000000,81310.98318267
2024-02-06,2298.93000000,2392.65000000,2295.79000000,2372.09000000,102729.57926297
2024-02-05,2288.82000000,2336.10000000,2268.00000000,2298.91000000,44870.36550212
2024-02-04,2295.97000000,2309.45000000,2266.14000000,2288.82000000,29623.64332388
2024-02-03,2308.06000000,2328.42000000,2292.29000000,2295.97000000,17826.99315399
2024-02-02,2303.66000000,2323.40000000,2280.43000000,2308.03000000,50538.33300083
2024-02-01,2281.55000000,2310.97000000,2239.04000000,2303.61000000,62864.78139733
2024-01-31,2342.96000000,2352.17000000,2262.47000000,2281.60000000,85201.86397060
2024-01-30,2317.63000000,2391.91000000,2296.86000000,2342.96000000,96526.62504443
2024-01-29,2256.47000000,2322.55000000,2233.15000000,2317.42000000,63329.25489388
2024-01-28,2268.12000000,2307.97000000,2239.30000000,2256.51000000,39248.46860701
2024-01-27,2267.47000000,2282.54000000,2250.90000000,2268.07000000,30982.52441099
2024-01-26,2217.29000000,2281.72000000,2194.88000000,2267.34000000,94910.54129622
2024-01-25,2234.34000000,2241.35000000,2169.47000000,2217.30000000,75539.58539235
2024-01-24,2241.10000000,2262.88000000,2195.32000000,2234.06000000,72772.97341402
2024-01-23,2311.52000000,2349.07000000,2165.01000000,2240.81000000,186226.75172366
2024-01-22,2455.09000000,2464.33000000,2301.00000000,2311.34000000,152916.39516189
2024-01-21,2470.51000000,2480.69000000,2451.26000000,2455.52000000,20818.01056422
2024-01-20,2489.98000000,2489.98000000,2452.02000000,2470.44000000,27547.90442945
2024-01-19,2468.82000000,2502.14000000,2412.40000000,2490.13000000,96947.20379828
2024-01-18,2528.02000000,2547.67000000,2423.43000000,2468.82000000,128802.61780602
2024-01-17,2586.46000000,2592.50000000,2505.19000000,2527.94000000,78118.40218361
2024-01-16,2509.85000000,2614.04000000,2498.25000000,2586.83000000,98820.86634244
2024-01-15,2470.65000000,2551.77000000,2468.60000000,2509.94000000,72919.16160111
2024-01-14,2578.13000000,2578.96000000,2467.97000000,2470.66000000,103969.50283893
2024-01-13,2522.02000000,2589.97000000,2496.41000000,2578.12000000,121668.19007134
2024-01-12,2618.37000000,2717.89000000,2455.00000000,2522.03000000,254977.63549268
2024-01-11,2584.85000000,2691.07000000,2567.08000000,2618.31000000,237306.47182505
2024-01-10,2344.97000000,2644.42000000,2340.77000000,2584.77000000,317568.89216896
2024-01-09,2332.52000000,2376.10000000,2228.42000000,2344.93000000,180275.73765795
2024-01-08,2222.86000000,2360.81000000,2167.68000000,2332.51000000,124227.66088047
2024-01-07,2241.81000000,2258.57000000,2206.66000000,2222.69000000,44609.45118075
2024-01-06,2270.29000000,2271.72000000,2217.00000000,2241.87000000,43380.28085198
2024-01-05,2269.48000000,2278.84000000,2207.60000000,2270.35000000,103166.13797897
2024-01-04,2210.49000000,2297.64000000,2203.10000000,2269.47000000,139871.10592444
2024-01-03,2356.27000000,2385.66000000,2100.00000000,2210.49000000,238855.87311254
2024-01-02,2352.80000000,2433.19000000,2342.19000000,2356.16000000,146957.41838868
2024-01-01,2281.03000000,2353.33000000,2264.86000000,2352.76000000,65735.83712724
2023-12-31,2291.51000000,2320.48000000,2259.10000000,2281.07000000,94453.26052695
2023-12-30,2299.17000000,2322.86000000,2267.63000000,2291.15000000,66344.10814823
2023-12-29,2345.08000000,2386.99000000,2255.78000000,2299.37000000,155499.37553718
2023-12-28,2380.54000000,2448.25000000,2336.70000000,2344.94000000,187887.79244123
